"Country";"City";"Car type";"Price"
"Albania";"Tirana";"Fiat Seicento 3door";32.47
"Albania";"Tirana";"Fiat Punto";49.44
"Albania";"Tirana";"Fiat Albea";33.7
"Albania";"Tirana";"Volkswagen Passat";41.23
"Albania";"Tirana";"Fiat Doblo";30.23
"Albania";"Tirana";"Fiat Scudo";40.76
"Albania";"Tirana";"Fiat Ulysse";49.69
"Albania";"Tirana";"Suzuki Grand Vitara";32.09
"Albania";"Tirana";"Kia Sportage";35.35
"Algeria";"Algiers";"Suzuki Swift 5door";50
"Algeria";"Algiers";"Chevrolet Aveo 4door";35.1
"Algeria";"Algiers";"Volkswagen Passat";35.64
"Andorra";"Andorra";"Peugeot 206 3door";47.49
"Andorra";"Andorra";"Peugeot 307 5door";38.56
"Andorra";"Andorra";"Peugeot 407 5door";34.57
"Andorra";"Andorra";"Volkswagen Sharan";41.67
"Andorra";"Andorra";"Audi A4";36.47
"Angola";"Luanda";"Daihatsu Sirion";49.38
"Angola";"Luanda";"Hyundai Accent 5door";31.99
"Angola";"Luanda";"Hyundai Sonata";30.32
"Angola";"Luanda";"BMW 5Series";36.17
"Angola";"Luanda";"Hyundai H1";47.79
"Angola";"Luanda";"Toyota HiAce";40.42
"Angola";"Luanda";"Daihatsu Terios";45.17
"Angola";"Luanda";"Hyundai Santa Fe";37.94
"Angola";"Luanda";"Toyota Prado";43.78
"Angola";"Luanda";"Nissan Double Cab";47.96
"Anguilla";"Anguilla";"Suzuki Carry";37.76
"Anguilla";"Anguilla";"Toyota Hilux";49.24
"Anguilla";"Anguilla";"Mazda 323";38.51
"Anguilla";"Anguilla";"Toyota Yaris";30.54
"Argentina";"Buenos Aires";"Ford Ka";32.04
"Argentina";"Buenos Aires";"Ford Fiesta 5door";33.05
"Argentina";"Buenos Aires";"Ford Focus C Max";48.47
"Argentina";"Buenos Aires";"Ford Focus 5door";32.03
"Argentina";"Buenos Aires";"Toyota Corolla 5door";46.51
"Argentina";"Buenos Aires";"Ford Eco Sport";33.9
"Argentina";"Buenos Aires";"Toyota Hilux Double Cap";30.29
"Argentina";"Cordoba";"Ford Ka";42.26
"Argentina";"Cordoba";"Ford Fiesta 5door";42.38
"Argentina";"Cordoba";"Ford Focus C Max";45.7
"Argentina";"Cordoba";"Ford Focus 5door";39.32
"Argentina";"Cordoba";"Toyota Corolla 5door";33.83
"Argentina";"Cordoba";"Ford Eco Sport";35.92
"Argentina";"Cordoba";"Toyota Hilux Double Cap";47.48
"Australia";"Adelaide";"Hyundai Getz 3door";45.12
"Australia";"Adelaide";"Hyundai Accent 3door";48.13
"Australia";"Adelaide";"Subaru Impreza";42.91
"Australia";"Adelaide";"Ford Falcon";42.35
"Australia";"Adelaide";"Ford Fairlane";37
